AVM6OR01CPJNQ	B00004TMFE	2.0	1365724800
A8TWSBLUYJR0U	B00004TMFE	5.0	1385164800
AUJZEJ5KJU6OQ	B00004TMFE	1.0	1344729600
A2EVBQAN92IEZS	B00004TMFE	1.0	1379030400
A2VOGNBUMXSW13	B00004TMFE	2.0	1357516800
A2ZQE4X9GYJMRI	B00004TMFE	5.0	1324339200
A38VDDNZ7A3QM0	B00004TMFE	5.0	1386028800
AIBDCIWC061A	B00004TMFE	4.0	1378425600
A2X0X13NTPOZN1	B00004TMFE	4.0	1392595200
A66XG9X8S7IH	B00004TMFE	4.0	1335398400
A1ACH77RG6C8MN	B00004TMFE	2.0	1401840000
A1D94IJBAPKVYV	B00004TUBL	5.0	1373846400
A2RQOO8VYAEZZG	B00004TUBL	3.0	1403136000
A26869WFGMMZHM	B00004TUBL	5.0	1399075200
A1NEIH01B5X6QL	B00004TUBL	5.0	1400716800
A1REYI6T6VJHKK	B00004TUBL	5.0	1369526400
A265CA7CZPYQ65	B00004TUBL	5.0	1383696000
AMB2Z4FMDBWQY	B00004TUBL	2.0	1303344000
A2HRHF83I3NDGT	B00004TUBL	5.0	1385510400
A1J7CRZ4OJ1T2L	B00004U9UY	5.0	1333670400
AD526SECC3I9D	B00004U9UY	5.0	1386201600
A3AZI828WJN1CD	B00004U9UY	4.0	1357344000
ACUGBCEADYT6D	B00004U9UY	3.0	1402617600
A14VNXS7M0JO5K	B00004U9UY	4.0	1383350400
A3VU2J7G0U35AU	B00004U9UY	5.0	1328486400
A2K3A3HA229ZVN	B00004U9UY	5.0	1363910400
A287547UH1VBJ7	B00004U9UY	4.0	1356739200
ASXPNU896V9I8	B00004U9UY	5.0	1360800000
A3S3R88HA0HZG3	B00004U9UY	5.0	1238544000
AEEJGDRRGLBB1	B000050B6U	2.0	1376438400
A2K6LI89NAD2J2	B000050B6U	5.0	1365638400
A4WX0FZ1MMAUH	B000050B6U	5.0	1395446400
AHP55PFHJL0H8	B000050B6U	2.0	1391558400
A3T4OHEAHOJ700	B000050B6U	5.0	1395705600
A3TQZLWYCQXLCQ	B000050B6U	5.0	1355529600
A2RUV6V9CWZAA0	B000050B6U	3.0	1300838400
A17V9XL4CWTQ6G	B000050B6U	5.0	1255305600
A2S6QCNNN8AK91	B000050B6U	5.0	1393286400
A33AQPJYH7UUXR	B000050B6U	3.0	1327190400
A3QOIDA6B2NIPO	B000050B6U	5.0	1273708800
A1SQW9H85UVYNU	B000050B6U	5.0	1380672000
A1H2M09FY6B9LR	B000050B6U	1.0	1360108800
A339O8ZW72WHZ0	B000050B6U	5.0	1398816000
A27DNSEA1L04L2	B000050B6U	4.0	1355356800
A22CW0ZHY3NJH8	B000050B6U	2.0	1372896000
AR18PHLJDG19R	B000050B6U	4.0	1376784000
ABAHRPQTOEP8L	B000050B6U	5.0	1384387200
A3ACCVELQ149WV	B000050B6U	5.0	1404000000
AWXNJ01KHLU3B	B000050B6U	5.0	1359676800
A9JG8QKH3NWFJ	B000050B6U	5.0	1346025600
A77L8C71G9XMK	B000050B6U	5.0	1373846400
A4NV7E4LLOYON	B000050B6U	5.0	1390694400
A1R3CO2XPML10H	B000050B6U	1.0	1329350400
